id,area,domain,section,verification,derives_from,statement
PLX-PRIN-001,PRIN,Foundational principles,§1,"T, D","§1.4, §13","The platform MUST NOT require a user to perform any manual action whose sole purpose is to preserve context for their own future return. Saving, snapshotting, pinning, bookmarking and summarising for continuity purposes MUST be automatic."
PLX-PRIN-002,PRIN,Foundational principles,§1,T,"§4, §59","The platform MUST preserve context independently of the applications that produced it. Removal, replacement or deprecation of a Connector MUST NOT destroy previously captured context, relationships or history relating to Objects sourced through it."
PLX-PRIN-003,PRIN,Foundational principles,§1,I,"§1.3, §76",The platform MUST NOT position itself as a replacement for specialist applications. Native applications MUST be justified against the build-vs-integrate test in §76 and the justification recorded in an Architecture Decision Record.
PLX-PRIN-004,PRIN,Foundational principles,§4,T,"§4 (implied), new","Context, relationships, decisions and history MUST be exportable in a documented, machine-readable, vendor-neutral format sufficient to reconstruct organisational memory outside Plexi."
PLX-PRIN-005,PRIN,Foundational principles,§4,"A, I","§4, §55","The platform MUST NOT make context durability contingent on a specific AI model, vendor or version. Withdrawal of any model provider MUST NOT invalidate previously stored context, relationships or decisions."
PLX-PRIN-006,PRIN,Foundational principles,§7,I,§7,"Every feature design MUST record, at design review, which of the ten design principles it advances and which it places under tension. Designs placing a principle under tension MUST record the mitigation."
PLX-PRIN-007,PRIN,Foundational principles,§7,"T, D","§7.9, §24","Every user-visible AI recommendation MUST be accompanied by machine-retrievable evidence consisting of references to specific Objects, Events, Decisions or Relationships. A recommendation for which no such evidence exists MUST NOT be displayed."
PLX-PRIN-008,PRIN,Foundational principles,§7,D,"§7.8, §23","Every inferred Relationship, Context Health transition and Resume assertion MUST be traceable by the user to the Events that produced it, through no more than three interactions from the point of display."
PLX-PRD-001,PRD,Product model,§10,T,"§10, §44 R1",Every Object MUST belong to exactly one owning Desk.
PLX-PRD-002,PRD,Product model,§10,"T, D","§10.2, §21","A Desk MUST persist its complete visual layout, including Object positions, sizes, z-order, scroll positions, selections and zoom level, and MUST restore it on reopen."
PLX-PRD-003,PRD,Product model,§10,T,"§10.3, new","Desk archetype MUST be a mutable attribute. Changing archetype MUST NOT require data migration, MUST NOT alter Object ownership, and MUST emit a DeskArchetypeChanged Event."
PLX-PRD-004,PRD,Product model,§10,T,§10.4,Desk state transitions MUST follow the state machine in §10.4. Invalid transitions MUST be rejected with a machine-readable error identifying the attempted and permitted transitions.
PLX-PRD-005,PRD,Product model,§10,T,"§10.4, §44 R5","Archiving or moving a Desk to Historical MUST NOT delete Events, Relationships or Decisions, and MUST NOT remove the Desk from search for users holding read permission."
PLX-PRD-006,PRD,Product model,§10,"T, D","§19, §33","A Desk MUST carry an explicit, user-editable Current Objective. Where absent, the platform MUST prompt for one and MAY propose a draft derived from Desk activity; a proposed objective MUST be marked as unconfirmed until a user accepts it."
PLX-PRD-010,PRD,Product model,§11,"I, T","§11, §34","All Object types MUST use the universal Object schema (§34). Type-specific data MUST be carried in the typed payload, not by extending the base schema."
PLX-PRD-011,PRD,Product model,§11,T,"§11.3, §83","The Object type registry MUST be extensible at runtime without redeployment of the Object Service, and extension-registered types MUST receive identical permission, event, versioning and Context Health handling to built-in types."
PLX-PRD-012,PRD,Product model,§11,T,"§11.4, §44 R5","Deletion of an Object MUST remove it from default visibility and search results while retaining its Events, Relationships and version history."
PLX-PRD-013,PRD,Product model,§11,"D, I","§11.4, new","The platform MUST present users with an accurate, plain-language statement of what deletion does and does not remove, at the point of deletion."
PLX-PRD-014,PRD,Product model,§11,"T, A","§11.2, §54","Every Object MUST carry semantic embeddings maintained within PLX-PERF-020 of a content-changing Event, or be explicitly excluded from semantic indexing by policy with the exclusion recorded."
PLX-PRD-020,PRD,Product model,§12,T,"§12, new","Cognitive Context values MUST be labelled with their acquisition method: declared (user-stated), inferred (model-derived), or absent."
PLX-PRD-021,PRD,Product model,§12,"T, D","§12, new",Inferred Cognitive Context MUST carry a confidence score and MUST be visually distinguished from declared Cognitive Context wherever displayed.
PLX-PRD-022,PRD,Product model,§12,"T, D","§12, new",Inferred Cognitive Context below the platform confidence threshold MUST NOT be displayed as an assertion. It MAY be offered as a question to the user.
PLX-PRD-023,PRD,Product model,§12,D,"§12, §40","The platform MUST provide a low-friction affordance for a user to declare their current question and expected next action, and MUST NOT require it."
PLX-PRD-030,PRD,Product model,§13,"I, D",§13.2,Workspace Memory capture MUST be automatic. The platform MUST NOT expose any user action whose function is to save context.
PLX-PRD-031,PRD,Product model,§13,T,"§13.3, new","A Session snapshot MUST be written on Desk exit, on session timeout, and at intervals not exceeding 60 seconds during active work, so that context survives unexpected client termination."
PLX-PRD-032,PRD,Product model,§13,T,"§13.4, §49","Context compression MUST NOT delete, alter or render unreadable any Event in the Event Store. Compression MUST produce a derived summary artefact that references the compressed Events by identifier."
PLX-PRD-033,PRD,Product model,§13,"T, D","§13.4, §23",Every compressed summary MUST be expandable to the underlying Event set on user request.
PLX-PRD-034,PRD,Product model,§13,"T, I",§66,"Memory layers (§66) MUST carry independent, tenant-configurable retention policies, and retention policy application MUST emit an auditable Event."
PLX-PRD-040,PRD,Product model,§14,"T, D","§14, §52",Resume generation MUST be continuous and automatic. The platform MUST NOT require a user to request a Resume.
PLX-PRD-041,PRD,Product model,§14,T,"§14, §7.9",Every Resume assertion MUST carry references to the Events that support it.
PLX-PRD-042,PRD,Product model,§14,"T, D",§39,"Resume Objects MUST be versioned and comparable, so that a user can diff the current understanding against any prior Resume for the same Desk."
PLX-PRD-043,PRD,Product model,§14,"T, A","§14.2, new","Estimated catch-up time MUST be presented with an accuracy qualifier, and its calibration MUST be tracked as PLX-MET-003."
PLX-PRD-044,PRD,Product model,§14,"T, D","§14, §7.10","Where the Resume Engine has insufficient signal to produce a confident summary, it MUST state that plainly rather than emitting a low-confidence narrative."
PLX-PRD-050,PRD,Product model,§15,T,"§15.3, §36, §44 R3","Every Relationship MUST carry provenance: discovery method, creating actor or system, evidence references, and confidence."
PLX-PRD-051,PRD,Product model,§15,T,"§15.2, §36","AI-discovered Relationships MUST be stored as provisional and MUST NOT influence Context Health, Resume content or permission evaluation until confirmed by a user or until confidence exceeds the configured tenant threshold."
PLX-PRD-052,PRD,Product model,§15,T,"§36, new",Promotion of a provisional Relationship to confirmed by threshold MUST emit a RelationshipConfirmed Event recording the threshold and the confidence at promotion.
PLX-PRD-053,PRD,Product model,§15,D,§6.8,The platform MUST NOT require a user to manually construct graph structure in order to receive relationship-derived intelligence.
PLX-PRD-060,PRD,Product model,§16,T,"§16.2, §44 R1",Sharing an Object into an additional Desk MUST NOT change its owning Desk.
PLX-PRD-061,PRD,Product model,§16,T,"§16, §44 R6, new","Where an Object appears in multiple Desks with differing permissions, the most restrictive applicable permission MUST govern for a given user."
PLX-PRD-062,PRD,Product model,§16,D,"§16.1, new","The synchronisation mode of a shared Object MUST be visible to every user who can see the Object, so that no user edits a Snapshot believing it is a Live Reference."
PLX-PRD-063,PRD,Product model,§16,T,"§16.1, new","Federated Objects MUST record all owners explicitly, and a change of the owner set MUST emit an Event and require approval from the existing owner set per tenant policy."
PLX-PRD-070,PRD,Product model,§17,T,"§17.2, §44 R6","Cross-Desk awareness statements MUST be permission-filtered per recipient. A statement MUST NOT be rendered if doing so would disclose the existence, name, or attributes of an Object, Desk or Decision the recipient is not permitted to know exists."
PLX-PRD-071,PRD,Product model,§17,"T, I","§17.2, new","Where a cross-Desk dependency exists but the recipient lacks permission to see its subject, the platform MUST either suppress the statement entirely or render a permission-safe form that discloses no protected attribute, according to tenant policy. The chosen behaviour MUST be configurable and auditable."
PLX-PRD-072,PRD,Product model,§17,T,"§17.3, new","Departure of a user (deactivation) MUST NOT remove Objects, Decisions, Relationships or Events they authored, and MUST trigger an ownership reassignment workflow for Objects they owned."
PLX-UX-001,UX,User experience,§18,I,"§18, §6","Every feature proposal MUST state, at design review, the cognitive load it removes. A proposal that adds capability without removing load MUST be explicitly justified against §6 Philosophy 1 and recorded."
PLX-UX-010,UX,User experience,§19,D,§19.1,"The active Desk identity MUST be visible at all times in every view, without user action, including full-screen Object views."
PLX-UX-011,UX,User experience,§19,D,§19.2,The Desk Current Objective MUST be visible or retrievable in a single interaction from any view within the Desk.
PLX-UX-012,UX,User experience,§19,"T, D",§19.3,Changes since the user's last review MUST be available on Desk open without the user performing any investigative action.
PLX-UX-013,UX,User experience,§19,"T, D",§19.4,"Ordering of changes presented to the user MUST be by materiality score (§80), not chronology. Chronological ordering MUST be available as an explicit alternative view."
PLX-UX-014,UX,User experience,§19,"T, D",§19.5,"Every Desk MUST present a Suggested Next Action derived from evidence, or explicitly state that no action is recommended. It MUST NOT present a fabricated or filler suggestion."
PLX-UX-015,UX,User experience,§19,D,"§19.6, §7","Every recommendation, Context Health transition and Resume assertion MUST expose its evidence within one interaction from the point of display."
PLX-UX-020,UX,User experience,§20,T,§20.1,"Context Health MUST be evaluated per (user, Object) pair, relative to that user's last review point."
PLX-UX-021,UX,User experience,§20,T,"§20, §51","Context Health transitions MUST be driven by materiality score (§80), not by raw change detection. A non-material change MUST NOT produce an Attention Required transition."
PLX-UX-022,UX,User experience,§20,"T, A","§20.5, §80","Context Health MUST propagate across confirmed Relationships. Propagation depth MUST be bounded by configuration, and the bound MUST be recorded in the propagation Event so that truncation is visible rather than silent."
PLX-UX-023,UX,User experience,§20,T,"§20.3, new",Presence (Live Activity) MUST be modelled orthogonally to Context Health state and MUST NOT overwrite an Attention Required or Decision Risk state.
PLX-UX-024,UX,User experience,§20,T,"§20, §7","Every Context Health transition MUST record the triggering Event, the materiality score, and the propagation path, and this record MUST be retrievable by the user (PLX-UX-015)."
PLX-UX-025,UX,User experience,§20,T,"§20.3, §37",Transition to Decision Risk MUST identify the specific Decision or Decisions at risk and the specific change believed to invalidate them. A Decision Risk state without a named Decision MUST NOT be raised.
PLX-UX-030,UX,User experience,§21,"T, D","§21.2, §21.3","The platform MUST NOT reposition, resize or reflow user-placed Objects on a Desk without explicit user action, except where required by a viewport change, and MUST restore the user's canonical layout when the original viewport is restored."
PLX-UX-031,UX,User experience,§21,"T, D",§21.2,"Desk restoration MUST restore layout, scroll positions, window states, open conversations, selected Objects, AI discussions and active workflows to the state recorded in the most recent Session snapshot."
PLX-UX-032,UX,User experience,§21,T,"§21, new","Layout MUST be persisted per (user, Desk, device class), so that a user's desktop arrangement is not overwritten by their mobile or multi-monitor arrangement."
PLX-UX-033,UX,User experience,§21,D,"§21, new","Where layout cannot be fully restored (for example, an Object has been deleted or permission revoked), the platform MUST indicate what could not be restored rather than silently omitting it."
PLX-UX-040,UX,User experience,§22,T,"§22.3, §54",Search results MUST be ranked with the active Desk as a ranking input. The same query issued from two different Desks MUST be permitted to produce different orderings.
PLX-UX-041,UX,User experience,§22,T,"§54, §44 R6","Search MUST apply permission filtering as the first stage of the ranking pipeline, before any relevance computation, and MUST NOT disclose the existence of non-permitted results through result counts, pagination totals or ranking artefacts."
PLX-UX-042,UX,User experience,§26,A,"§6.7, §26, new",Interruptive notification volume per active user MUST be instrumented and reported per release as a regression metric.
PLX-UX-043,UX,User experience,§26,"T, I","§26.2, new",Every notification emitted MUST record the escalation layer it entered at and the trigger that escalated it. Notifications emitted without a recorded escalation trigger MUST be treated as defects.
PLX-UX-044,UX,User experience,§26,T,"§26.1, new",The Security category MUST be exempt from user-configurable suppression. All other categories MUST be user-suppressible.
PLX-UX-045,UX,User experience,§26,D,"§26, new","A user MUST be able to view, in one place, every signal the platform chose *not* to escalate to them in a given period, so that suppression remains inspectable rather than opaque."
PLX-UX-050,UX,User experience,§23,"T, D",§23,"Every Desk open MUST present a Resume Card. Where no changes have occurred, it MUST state so explicitly rather than rendering empty."
PLX-UX-051,UX,User experience,§23,D,§23.2,The disclosure path Summary → Details → Evidence → History → Raw Events MUST be complete and navigable for every Resume assertion.
PLX-UX-052,UX,User experience,§23,"D, I","§23.1, §55","The Resume Card MUST display a confidence score, and the meaning of the score MUST be documented in-product in plain language."
PLX-UX-060,UX,User experience,§24,T,"§24.3, §7.9",Every AI recommendation presented to a user MUST carry all eight fields of §24.3. A recommendation missing evidence MUST NOT be displayed.
PLX-UX-061,UX,User experience,§24,"T, D",§24.2,"AI MUST obtain explicit user confirmation before any action that mutates an Object, changes a permission, sends an external communication, or incurs cost above the tenant-configured threshold."
PLX-UX-062,UX,User experience,§24,"T, D","§24, §70, new",AI-generated content MUST be visually and programmatically distinguishable from human-authored content at every point of display and in every export.
PLX-UX-063,UX,User experience,§24,"A, I","§24.3, new","Confidence scores presented to users MUST be derived from a documented, calibrated methodology. Uncalibrated model self-report MUST NOT be surfaced as a confidence score."
PLX-UX-070,UX,User experience,§25,T,"§25.1, §44 R6",Presence information MUST be permission-scoped. A user MUST NOT be shown the presence of another user on an Object they cannot themselves see.
PLX-UX-071,UX,User experience,§25,"T, D",§25.2,"Change communication MUST be expressed in terms of consequence where consequence is derivable, and MUST fall back to factual activity description where it is not. It MUST NOT fabricate consequence."
PLX-UX-072,UX,User experience,§25,"T, I","§25.1, new","Presence data MUST be treated as personal data with a defined, tenant-configurable retention period, and MUST NOT be retained in the Event Store beyond that period in identifiable form."
PLX-UX-080,UX,User experience,§28,"T, D",§28,"Resume review and Decision approval MUST be fully functional on mobile, including evidence disclosure to at least the Evidence level of §23.2."
PLX-UX-081,UX,User experience,§28,T,"§28, §21",Mobile MUST NOT be required to render or restore the spatial Canvas layout. Mobile layout state MUST NOT overwrite desktop layout state (PLX-UX-032).
